lesson_number,order_index,domain,difficulty,title,module,topics,prerequisites,status,tags,notes
11,11,active_directory,3,AD Disaster Recovery & Forest Recovery Drills,,"Develop comprehensive AD disaster recovery runbooks, Execute forest recovery drills in isolated labs, Coordinate communication across stakeholders during recovery","[""Active Directory Hardening & Continuous Monitoring"", ""Hybrid AD Identity Security""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
12,12,active_directory,3,Kerberoasting Attack,,"Understand how Kerberoasting exploits the Kerberos authentication protocol, Enumerate Service Principal Names (SPNs) in Active Directory environments, Extract and crack TGS tickets offline to recover service account passwords","[""ad-enum-001"", ""ad-auth-001""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
13,13,active_directory,3,Golden Ticket Attack,,"Understand how Golden Ticket attacks forge Kerberos TGTs to achieve persistent domain access, Extract KRBTGT account credentials using DCSync and other techniques, Create and inject forged Golden Tickets with custom attributes and lifetimes","[""ad-enum-001"", ""ad-auth-001"", ""ad-kerb-001""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
14,14,active_directory,3,Pass-the-Hash and Pass-the-Ticket Attacks,,"Understand how Pass-the-Hash attacks exploit NTLM authentication to move laterally without knowing plaintext passwords, Extract and reuse password hashes and Kerberos tickets from LSASS memory, Perform Pass-the-Ticket attacks to impersonate users with cached Kerberos tickets","[""ad-enum-001"", ""ad-auth-001""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
15,15,active_directory,3,DCSync Attack: Extracting Domain Credentials,,"Understand how DCSync abuses legitimate replication protocols, Master credential extraction using Mimikatz and Impacket, Identify required permissions for DCSync attacks","[""a9b8c7d6-e5f4-4a3b-8c9d-2e1f0a9b8c7d""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
16,16,active_directory,3,Active Directory Certificate Services Exploitation,,"Understand how Active Directory Certificate Services enables certificate-based authentication, Identify misconfigurations in certificate templates (ESC1-ESC8), Exploit vulnerable certificate templates for privilege escalation and persistence","[""a3f8c9d2-7b4e-4a1c-9d2f-8e7a6b5c4d3e""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Career Path: DFIR Specialist, Built-In",
17,1,blue_team,1,Blue Team Fundamentals,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
18,2,blue_team,1,Log Analysis Basics,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
19,3,blue_team,2,ELK Stack: Security Monitoring and Log Analysis,,"Understand ELK Stack architecture and component interactions, Deploy and configure Elasticsearch, Logstash, and Kibana for security monitoring, Create Logstash pipelines to parse security logs (Windows Event Logs, Syslog, Firewall logs)","[""b7f2e1d4-9a3c-4e8b-7d2f-5c1a9e6b3d8f""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
20,4,blue_team,2,Splunk Enterprise SIEM: Security Monitoring and Threat Detection,,"Understand Splunk Enterprise architecture and deployment models, Master SPL for security investigations and threat hunting, Configure data inputs and universal forwarders","[""b7f2e1d4-9a3c-4e8b-7d2f-5c1a9e6b3d8f""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
21,5,blue_team,3,EDR Deployment and Tuning for Enterprise Defense,,"Understand EDR architecture and how it differs from traditional antivirus, Deploy and configure enterprise EDR solutions (CrowdStrike, SentinelOne, Defender for Endpoint), Tune detection rules to reduce false positives while maintaining security","[""bt000000-0000-0000-0000-000000000001""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
22,6,blue_team,3,Memory Forensics and Malware Analysis,,"Understand why memory forensics is critical for detecting advanced threats, Acquire memory dumps from live systems using multiple methods, Analyze memory dumps with Volatility Framework to identify malicious processes","[""bt000000-0000-0000-0000-000000000001""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
23,7,blue_team,3,Deception Technology and Active Defense,,"Understand the philosophy and value of deception in cybersecurity defense, Deploy and manage honeypots to detect reconnaissance and exploitation attempts, Create honeytokens (fake credentials, documents, database records) to detect data theft","[""bt000000-0000-0000-0000-000000000001""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
24,8,blue_team,3,SIEM Detection Engineering and Rule Development,,"Understand SIEM architecture and how log data flows from sources to analytics, Write effective detection rules in Splunk SPL and Microsoft Sentinel KQL, Create Sigma rules for platform-agnostic detection logic","[""bt000000-0000-0000-0000-000000000001""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
25,9,blue_team,3,Incident Response Automation and SOAR Platforms,,"Understand SOAR architecture and use cases for incident response automation, Design and implement automated incident response playbooks, Integrate security tools via APIs for orchestrated workflows","[""e1f2a3b4-5c6d-7e8f-9a0b-1c2d3e4f5a6b""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
26,10,blue_team,2,Wazuh: Open-Source XDR and Security Monitoring Platform,,"Understand Wazuh's XDR architecture and capabilities, Deploy Wazuh manager and agents across Windows/Linux environments, Configure file integrity monitoring (FIM) for critical files","[""b7f2e1d4-9a3c-4e8b-7d2f-5c1a9e6b3d8f""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
27,11,blue_team,2,MISP: Threat Intelligence Sharing and Collaboration,,"Understand MISP architecture and threat intelligence concepts, Create and manage threat intelligence events, Use taxonomies and galaxies for classification","[""blue_team_01""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
28,12,blue_team,2,OpenCTI: Cyber Threat Intelligence Knowledge Platform,,"Understand OpenCTI's knowledge graph approach to threat intelligence, Create and manage threat intelligence entities and relationships, Use connectors to import external threat feeds","[""blue_team_11""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
29,13,blue_team,2,Sigma: Universal Detection Rule Format,,"Understand Sigma's purpose in detection engineering, Write effective Sigma rules for threat detection, Convert Sigma rules to various SIEM formats","[""blue_team_01""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
30,14,blue_team,2,Snort: Network Intrusion Detection and Prevention,,"Understand Snort architecture and deployment modes, Write effective Snort detection rules, Configure Snort for IDS and IPS operation","[""blue_team_01""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
31,15,blue_team,3,Security Onion: Comprehensive Network Security Monitoring,,"Understand Security Onion's integrated NSM architecture, Deploy Security Onion in standalone and distributed modes, Hunt for threats using Kibana and Hunt interface","[""blue_team_14""]",completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
32,21,blue_team,3,Threat Hunting Methodology,,"Master hypothesis-driven threat hunting methodologies, Learn to develop and test hunting hypotheses using MITRE ATT&CK, Understand how to hunt for specific TTPs in your environment",[],completed,"Career Path: SOC Analyst, Career Path: Security Engineer, Built-In",
33,1,cloud,1,AWS Security Fundamentals and Best Practices,,"Understand AWS IAM fundamentals including users, roles, policies, and groups, Configure S3 buckets securely to prevent data exposure and unauthorized access, Implement CloudTrail logging for comprehensive audit trails and incident investigation","[""a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
34,2,cloud,1,Azure Security Best Practices and Identity Management,,"Understand Azure Active Directory and Entra ID for identity management, Implement Azure RBAC with principle of least privilege, Configure Conditional Access policies for zero-trust security","[""c1a2b3d4-5e6f-7a8b-9c0d-1e2f3a4b5c6d""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
35,3,cloud,2,Kubernetes Security: Cluster Hardening and Container Security,,"Implement Kubernetes RBAC with least privilege for users and service accounts, Configure Pod Security Standards to prevent privileged container breakouts, Deploy Network Policies for micro-segmentation between pods and namespaces","[""c1a2b3d4-5e6f-7a8b-9c0d-1e2f3a4b5c6d""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
36,4,cloud,2,Cloud Identity and Access Management (IAM) Deep Dive,,"Understand identity federation protocols (SAML, OIDC, OAuth 2.0) and when to use each, Implement SSO with external identity providers to centralize authentication, Configure Just-in-Time access to reduce standing privileged access","[""c1a2b3d4-5e6f-7a8b-9c0d-1e2f3a4b5c6d"", ""d2b3c4e5-6f7a-8b9c-0d1e-2f3a4b5c6d7e""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
37,5,cloud,2,"Serverless Security: Lambda, Functions, and API Gateway",,"Secure AWS Lambda functions with least-privilege execution roles, Implement API Gateway authentication using IAM, Cognito, and Lambda authorizers, Prevent serverless injection attacks (command injection, SQL injection, SSRF)","[""c1a2b3d4-5e6f-7a8b-9c0d-1e2f3a4b5c6d""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
38,6,cloud,2,Google Cloud Platform (GCP) Security Fundamentals,,"Understand GCP security architecture and shared responsibility model, Master Google Cloud IAM roles, permissions, and service accounts, Learn to implement VPC Service Controls for data exfiltration prevention",[],completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
39,7,cloud,2,Cloud Network Security and VPC Design,,"Design secure VPC architectures with proper network segmentation, Implement defense-in-depth using security groups and network ACLs, Configure private connectivity between cloud services without internet exposure","[""18e97c15-6900-4919-99f0-0531c5809325""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
40,8,cloud,2,"Cloud Storage Security (S3, Azure Blob, GCP Storage)",,"Identify and remediate common S3 misconfiguration vulnerabilities, Implement defense-in-depth for cloud object storage using policies, encryption, and monitoring, Configure S3 Block Public Access and bucket policies to prevent data exposure","[""2a8f3b19-7c44-4d29-8e11-9f2c4a1b6d3e""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
41,9,cloud,3,Container Registry and Supply Chain Security,,"Identify and remediate vulnerabilities in container images using automated scanning, Implement image signing and verification to prevent supply chain attacks, Secure container registries (ECR, ACR, GCR) with proper access controls and encryption","[""5c9d2e71-4f89-4b23-9a56-7e3f8c9d1b2a""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
42,10,cloud,3,Cloud-Native Security Tools and CSPM,,"Configure and use CSPM tools to detect cloud misconfigurations across AWS, Azure, and GCP, Implement automated security scanning in CI/CD pipelines using IaC security tools, Set up AWS Security Hub with automated findings aggregation and remediation","[""8f1a3c4d-9e2b-4f7a-a1c3-5d6e7f8a9b0c""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
43,11,cloud,3,Azure AD Conditional Access Bypass Scenarios,,"Identify common misconfigurations that allow Conditional Access bypass, Simulate attack paths such as token replay and legacy auth abuse with proper safeties, Instrument detections using Azure AD logs, Identity Protection, and Defender for Cloud Apps","[""Azure Security Fundamentals"", ""Identity Threat Detection in Azure""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
44,12,cloud,2,AWS Control Tower Security Automation,,"Design secure AWS Control Tower landing zones, Implement guardrails and SCPs for compliance, Automate detection and response workflows","[""Cloud Security Fundamentals""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
45,13,cloud,3,Multi-Cloud Key Management Patterns,,"Inventory encryption keys across cloud providers, Align lifecycle and rotation policies, Implement standardised access controls","[""AWS Control Tower Security Automation"", ""Cloud Security Fundamentals""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
46,14,cloud,2,Serverless Security Posture Management,,"Apply least privilege to serverless functions, Secure secrets and environment variables, Integrate runtime monitoring and logging","[""Cloud Security Fundamentals"", ""Serverless Architecture Basics""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
47,15,cloud,3,CI/CD Pipeline Security & Supply Chain Defences,,"Harden CI/CD platform access and secrets, Generate and manage SBOMs, Implement artefact signing and verification","[""DevSecOps Fundamentals"", ""Serverless Security Posture Management""]",completed,"Career Path: Cloud Security, Career Path: Security Engineer, Built-In",
48,1,dfir,1,Introduction to Digital Forensics,,"Understand the fundamentals of digital forensics and its role in cybersecurity, Master the forensic process from identification to presentation, Learn proper evidence handling and chain of custody procedures",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
49,2,dfir,2,Chain of Custody,,"Master proper evidence tracking and documentation procedures, Understand legal requirements for chain of custody, Learn secure evidence handling and storage practices","[""1002d72a-810e-4979-8645-16cd8cd5df33""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
50,3,dfir,2,Incident Response Process,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
51,4,dfir,2,Windows Event Log Analysis for Incident Response,,"Understand Windows Event Log architecture and log types, Identify critical Security Event IDs for authentication, authorization, and execution, Analyze Event ID 4624 Logon Types to understand access methods","[""7333ad37-a513-4598-a23b-9729e3114bae""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
52,5,dfir,2,Disk Forensics and File System Analysis,,"Understand NTFS architecture including MFT, clusters, and system files, Explain how file deletion works and why deleted files can be recovered, Perform deleted file recovery using MFT-based and file carving techniques","[""7333ad37-a513-4598-a23b-9729e3114bae""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
53,6,dfir,2,Evidence Acquisition & Triage for DFIR Responders,,"Determine the optimal acquisition strategy based on data volatility and legal scope, Use imaging tools to capture disk and memory while preserving integrity, Deploy triage scripts to extract high value artifacts rapidly","[""Introduction to Digital Forensics"", ""DFIR Chain of Custody"", ""DFIR Incident Response Process""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
54,7,dfir,3,Advanced Memory Forensics and Malware Analysis,,"Use Volatility 3 to detect advanced process injection techniques, Identify rootkits through SSDT hooking and driver analysis, Extract and analyze credentials from memory dumps","[""e8f1a2b3-4c5d-6e7f-8a9b-0c1d2e3f4a5b""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
55,8,dfir,2,macOS Incident Response Triage,,"Identify key macOS artefacts that support rapid incident triage, Collect unified logs and FSEvents data without losing chain of custody, Detect common persistence mechanisms and remove them safely","[""Evidence Acquisition & Triage for DFIR Responders"", ""macOS Security Fundamentals""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
56,9,dfir,2,Network Forensics: Packet Analysis and Threat Detection,,"Master Wireshark filters and packet analysis techniques for forensic investigations, Identify Command and Control (C2) traffic patterns and beaconing behavior, Detect lateral movement techniques across network protocols (SMB, RDP, WMI)","[""dfir_01"", ""dfir_03""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
57,10,dfir,2,SaaS Incident Response Playbooks,,"Build SaaS-specific response playbooks for major platforms, Collect evidence using native APIs and audit logs, Coordinate containment actions with business stakeholders","[""Incident Response Process"", ""Cybersecurity Orientation & Learning Gameplan""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
58,11,dfir,3,Advanced Memory Forensics: Volatility and Live System Analysis,,"Master memory acquisition techniques for Windows, Linux, and macOS, Analyze memory dumps using Volatility 3 framework for malware detection, Identify code injection techniques (DLL injection, process hollowing, reflective loading)","[""dfir_01"", ""dfir_04""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
59,12,dfir,3,Memory Forensics with Volatility 3,,"Set up Volatility 3 for multi-platform analysis, Use plugins to identify suspicious processes and modules, Script custom workflows for repeated investigations","[""Advanced Memory Forensics"", ""Evidence Acquisition & Triage for DFIR Responders""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
60,13,dfir,2,Forensic Timeline Investigation with SANS Hunt Evil,,"Identify normal Windows processes and detect anomalies using baseline knowledge, Understand lateral movement techniques and associated forensic artifacts, Correlate evidence across Event Logs, Registry, and File System sources","[""dfir-001-fundamentals""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
61,14,dfir,3,Timeline Analysis and Incident Reconstruction,,"Master timeline creation using Plaso (log2timeline) for comprehensive artifact collection, Understand MACB timestamp semantics and detect timestamp manipulation (timestomping), Correlate evidence across multiple sources (filesystem, registry, event logs, prefetch, browser history)","[""dfir_01"", ""dfir_03"", ""dfir_04""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
62,15,dfir,3,Threat Hunting with Timeline Fusion,,"Build fused timelines using disk, memory, and network artefacts, Develop hunt hypotheses guided by timeline evidence, Automate queries to surface suspicious sequences","[""Timeline Analysis and Reconstruction"", ""Memory Forensics with Volatility 3""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
63,16,dfir,3,Hardware-Assisted Forensics Challenges,,"Explain firmware and hardware persistence mechanisms, Collect and analyse UEFI and firmware images, Identify indicators of hardware tampering","[""Advanced Memory Forensics"", ""Digital Forensics Fundamentals""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
64,17,dfir,2,Velociraptor: Advanced Endpoint Forensics and Hunting,,"Understand Velociraptor's architecture and deployment models, Master VQL syntax for custom artifact collection, Perform remote forensic triage across multiple endpoints","[""d4e7f2a1-3c8b-4f9d-7e2a-5b1c9d6f3a8e""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
65,18,dfir,2,TimeSketch: Timeline Analysis and Forensic Collaboration,,"Understand TimeSketch architecture and components, Master Plaso/log2timeline for timeline creation, Perform advanced timeline searches and filtering","[""dfir_08""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
66,19,dfir,2,Reconstructing Program Execution with AmcacheParser,,"Use AmcacheParser switches to parse windows amcache hive at scale, Correlate AmcacheParser output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
67,20,dfir,2,The Windows Registry Fundamentals,,"Understand Windows Registry hierarchical database architecture, Identify and analyze the five root registry keys and their purposes, Recognize common registry data types and their forensic significance","[""eb47f98c-2144-4c23-83d8-5990fe4ac1c2""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Course: SANS-FOR500, Career Path: DFIR Specialist",
68,21,dfir,2,Mastering ShimCache Analysis with AppCompatCacheParser,,"Use AppCompatCacheParser switches to parse windows application compatibility (shimcache) registry data at scale, Correlate AppCompatCacheParser output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
69,22,dfir,2,NTUSER.DAT Analysis,,"Understand the structure and forensic value of NTUSER.DAT hives, Extract and analyze MRU lists to track user activity, Decode UserAssist entries to identify program execution","[""93389b7b-e0c3-4d6b-9243-8ae49b8c509f""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
70,23,dfir,2,High-Fidelity String Hunting with bstrings,,"Use bstrings switches to parse binary string extraction from executables, memory images, and disk captures at scale, Correlate bstrings output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In",
71,24,dfir,2,UsrClass.dat and ShellBags Analysis,,"Understand UsrClass.dat hive purpose and forensic significance, Parse ShellBags to identify folder access history, Reconstruct user's folder navigation patterns","[""eb47f98c-2144-4c23-83d8-5990fe4ac1c2""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Course: SANS-FOR500, Career Path: DFIR Specialist",
72,25,dfir,2,Deep Windows Event Log Triage with EvtxECmd,,"Use EvtxECmd switches to parse windows event log (.evtx) files at scale, Correlate EvtxECmd output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In, Package: Eric Zimmerman Tools",
73,26,dfir,2,USB Forensics and Network Analysis via Registry,,"Extract USB device history from Windows Registry USBSTOR keys, Identify device serial numbers, vendor IDs, and product IDs for device tracking, Analyze first and last connection timestamps for USB devices","[""11f8e2a3-9b4c-4d7e-8f1a-2c5b6e9d3a7f""]",completed,"Course: 13Cubed-Investigating Windows Endpoints, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
74,27,dfir,3,Advanced Registry Analysis and Timeline Forensics,,"Extract and analyze Registry transaction logs for deleted key recovery, Use Volume Shadow Copies to track Registry changes over time, Generate comprehensive Registry timelines using RegRipper and RECmd","[""11f8e2a3-9b4c-4d7e-8f1a-2c5b6e9d3a7f"", ""a7f3c9d2-8e5b-4a1f-9c3d-7b2e6f8a4d1c""]",completed,"Course: 13Cubed-Investigating Windows Endpoints, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
75,28,dfir,2,Jump List Artifact Intelligence with JLECmd,,"Use JLECmd switches to parse windows automaticdestinations and customdestinations jump lists at scale, Correlate JLECmd output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In, Package: Eric Zimmerman Tools",
76,29,dfir,2,Shortcut Forensics with LECmd,,"Use LECmd switches to parse windows lnk shortcut files at scale, Correlate LECmd output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In, Package: Eric Zimmerman Tools",
77,30,dfir,2,Windows Prefetch Analysis,,"Understand Prefetch mechanism and forensic value for execution evidence, Parse Prefetch files using PECmd to extract execution timestamps, Identify program run counts and last execution times","[""93389b7b-e0c3-4d6b-9243-8ae49b8c509f""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Course: SANS-FOR500, Career Path: DFIR Specialist",
78,31,dfir,3,NTFS Timeline Dominance with MFTECmd,,"Use MFTECmd switches to parse ntfs master file table (mft) at scale, Correlate MFTECmd output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In, Package: Eric Zimmerman Tools",
79,32,dfir,2,Shimcache (AppCompatCache) Forensics,,"Understand the purpose and structure of Windows ShimCache (AppCompatCache), Distinguish between execution evidence vs. file existence evidence in ShimCache, Extract ShimCache entries using AppCompatCacheParser","[""11f8e2a3-9b4c-4d7e-8f1a-2c5b6e9d3a7f""]",completed,"Course: 13Cubed-Investigating Windows Endpoints, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
80,33,dfir,2,AmCache Analysis,,"Understand AmCache.hve database structure and forensic significance, Parse AmCache with AmCacheParser to extract program execution evidence, Identify first execution timestamps and correlate with file system timeline","[""562b03ba-4337-4056-8028-ef4c4dd933f2""]",completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Course: SANS-FOR500, Career Path: DFIR Specialist",
81,34,dfir,2,Windows Prefetch Investigations with PECmd,,"Use PECmd switches to parse windows prefetch files (*.pf) at scale, Correlate PECmd output with at least two supporting artifacts, Automate parsing workflows with scripts or orchestration tools",[],completed,"Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist, Built-In, Package: Eric Zimmerman Tools",
82,35,dfir,2,"Program Compatibility Assistant, MUICache, and UserAssist",,"Extract execution evidence from Program Compatibility Assistant (PCA) artifacts, Analyze MUICache for application path and friendly name tracking, Decode ROT-13 encoded UserAssist entries","[""562b03ba-4337-4056-8028-ef4c4dd933f2"", ""ccfa4bce-567e-4c36-bdc6-fba0aa5416a9""]",completed,"Course: 13Cubed-Investigating Windows Endpoints, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
